"conceptId","term","refsetId","refsetName","active"
"385041000000108","Diabetes mellitus with multiple complications","999004691000000108","DM_COD","1"
"395204000","Hyperosmolar non-ketotic state due to type 2 diabetes mellitus","999004691000000108","DM_COD","1"
"401110002","Type 1 diabetes mellitus with persistent microalbuminuria","999004691000000108","DM_COD","1"
"408540003","Diabetes mellitus caused by non-steroid drugs","999004691000000108","DM_COD","1"
"413183008","Diabetes mellitus caused by non-steroid drugs without complication","999004691000000108","DM_COD","1"
"420270002","Ketoacidosis due to type 1 diabetes mellitus","999004691000000108","DM_COD","1"
"420825003","Gangrene due to type 1 diabetes mellitus","999004691000000108","DM_COD","1"
"420868002","Disorder due to type 1 diabetes mellitus","999004691000000108","DM_COD","1"
"421075007","Ketoacidotic coma due to type 1 diabetes mellitus","999004691000000108","DM_COD","1"
"421305000","Persistent microalbuminuria due to type 1 diabetes mellitus","999004691000000108","DM_COD","1"
"421437000","Hypoglycemic coma due to type 1 diabetes mellitus","999004691000000108","DM_COD","1"
"421631007","Gangrene due to type 2 diabetes mellitus","999004691000000108","DM_COD","1"
"421750000","Ketoacidosis due to type 2 diabetes mellitus","999004691000000108","DM_COD","1"
"421847006","Ketoacidotic coma due to type 2 diabetes mellitus","999004691000000108","DM_COD","1"
"422014003","Disorder due to type 2 diabetes mellitus","999004691000000108","DM_COD","1"
"422228004","Multiple complications due to type 1 diabetes mellitus","999004691000000108","DM_COD","1"
"426705001","Diabetes mellitus co-occurrent and due to cystic fibrosis","999004691000000108","DM_COD","1"
"426875007","Latent autoimmune diabetes mellitus in adult","999004691000000108","DM_COD","1"
"427089005","Diabetes mellitus due to cystic fibrosis","999004691000000108","DM_COD","1"
"44054006","Diabetes mellitus type 2","999004691000000108","DM_COD","1"
"443694000","Uncontrolled type 2 diabetes mellitus","999004691000000108","DM_COD","1"
"444073006","Uncontrolled type 1 diabetes mellitus","999004691000000108","DM_COD","1"
"445353002","Brittle type 2 diabetes mellitus","999004691000000108","DM_COD","1"
"46635009","Diabetes mellitus type 1","999004691000000108","DM_COD","1"
"4855003","Retinopathy due to diabetes mellitus","999004691000000108","DM_COD","1"
"49455004","Polyneuropathy due to diabetes mellitus","999004691000000108","DM_COD","1"
"51002006","Diabetes mellitus associated with pancreatic disease","999004691000000108","DM_COD","1"
"5368009","Drug-induced diabetes mellitus","999004691000000108","DM_COD","1"
"5969009","Diabetes mellitus associated with genetic syndrome","999004691000000108","DM_COD","1"
"609561005","Maturity-onset diabetes of the young","999004691000000108","DM_COD","1"
"609562003","Maturity onset diabetes of the young, type 1","999004691000000108","DM_COD","1"
"609572000","Maturity-onset diabetes of the young, type 5","999004691000000108","DM_COD","1"
"703136005","Diabetes mellitus in remission","999004691000000108","DM_COD","1"
"703137001","Type I diabetes mellitus in remission","999004691000000108","DM_COD","1"
"703138006","Type II diabetes mellitus in remission","999004691000000108","DM_COD","1"
"70694009","Wolfram syndrome","999004691000000108","DM_COD","1"
"73211009","Diabetes mellitus","999004691000000108","DM_COD","1"
"737212004","Diabetes mellitus caused by chemical","999004691000000108","DM_COD","1"
"739681000","Disorder of eye due to type 1 diabetes mellitus","999004691000000108","DM_COD","1"
"75682002","Diabetes mellitus caused by insulin receptor antibodies","999004691000000108","DM_COD","1"
"768792007","Cataract of right eye due to diabetes mellitus","999004691000000108","DM_COD","1"
"768793002","Cataract of left eye due to diabetes mellitus","999004691000000108","DM_COD","1"
"768794008","Cataract of bilateral eyes due to diabetes mellitus","999004691000000108","DM_COD","1"
"816067005","Diabetes, hypogonadism, deafness, intellectual disability syndrome","999004691000000108","DM_COD","1"
"82581000119105","Rubeosis iridis due to type 1 diabetes mellitus","999004691000000108","DM_COD","1"
"8801005","Secondary diabetes mellitus","999004691000000108","DM_COD","1"
"1010405004","Paroxysmal atrial fibrillation with rapid ventricular response","999002271000000101","AFIB_COD","1"
"120041000119109","Atrial fibrillation with rapid ventricular response","999002271000000101","AFIB_COD","1"
"15964901000119107","Atypical atrial flutter","999002271000000101","AFIB_COD","1"
"195080001","Atrial fibrillation and flutter","999002271000000101","AFIB_COD","1"
"233910005","Lone atrial fibrillation","999002271000000101","AFIB_COD","1"
"233911009","Non-rheumatic atrial fibrillation","999002271000000101","AFIB_COD","1"
"280797561000119107","Permanent atrial fibrillation due to heart valve disorder","999002271000000101","AFIB_COD","1"
"282825002","Paroxysmal atrial fibrillation","999002271000000101","AFIB_COD","1"
"300996004","Controlled atrial fibrillation","999002271000000101","AFIB_COD","1"
"313377641000119105","Atrial fibrillation due to heart valve disorder","999002271000000101","AFIB_COD","1"
"314208002","Rapid atrial fibrillation","999002271000000101","AFIB_COD","1"
"425615007","Chronic atrial flutter","999002271000000101","AFIB_COD","1"
"426749004","Chronic atrial fibrillation","999002271000000101","AFIB_COD","1"
"427665004","Paroxysmal atrial flutter","999002271000000101","AFIB_COD","1"
"440028005","Permanent atrial fibrillation","999002271000000101","AFIB_COD","1"
"440059007","Persistent atrial fibrillation","999002271000000101","AFIB_COD","1"
"467643831000119105","Paroxysmal atrial fibrillation due to heart valve disorder","999002271000000101","AFIB_COD","1"
"489609371000119104","Persistent atrial fibrillation due to heart valve disorder","999002271000000101","AFIB_COD","1"
"49436004","Atrial fibrillation","999002271000000101","AFIB_COD","1"
"5370000","Atrial flutter","999002271000000101","AFIB_COD","1"
"706923002","Longstanding persistent atrial fibrillation","999002271000000101","AFIB_COD","1"
"715395008","Familial atrial fibrillation","999002271000000101","AFIB_COD","1"
"720448006","Typical atrial flutter","999002271000000101","AFIB_COD","1"
"762247006","Preexcited atrial fibrillation","999002271000000101","AFIB_COD","1"
